Symbol,Date,Open,High,Low,Close,Volume,Rise,industry
PEG,2022-10-21,54.04,54.82,53.29,54.3,5527500.0,-26.11,Utilities—Regulated Electric
PEP,2022-10-21,171.2,173.69,170.58,173.06,5071500.0,0.34,Beverages—Non-Alcoholic
PFE,2022-10-21,43.31,45.16,42.99,44.95,36572600.0,-7.01,Drug Manufacturers—General
PFG,2022-10-21,77.45,79.09,76.55,78.84,6279400.0,6.94,Insurance—Diversified
PG,2022-10-21,126.54,128.95,126.48,128.58,6393900.0,-20.41,Household & Personal Products
PGR,2022-10-21,119.59,122.5,118.67,122.45,2985100.0,8.44,Insurance—Property & Casualty
PH,2022-10-21,261.02,271.26,258.89,269.39,1914000.0,-5.22,Specialty Industrial Machinery
PHM,2022-10-21,36.11,37.61,35.99,37.49,2764000.0,-13.14,Residential Construction
PKG,2022-10-21,113.25,117.21,112.97,116.94,617400.0,-28.95,Packaging & Containers
PKI,2022-10-21,126.9,130.58,124.37,130.55,564900.0,-18.09,Diagnostics & Research
PLD,2022-10-21,102.49,103.47,100.64,103.08,3971600.0,-38.82,REIT—Industrial
PM,2022-10-21,85.15,87.01,84.44,86.51,6780800.0,-16.62,Tobacco
PNC,2022-10-21,147.49,156.67,146.89,156.37,2624600.0,-11.11,Banks—Regional
PNR,2022-10-21,39.2,39.81,38.55,39.62,2940500.0,-25.47,Specialty Industrial Machinery
PNW,2022-10-21,63.24,64.56,62.58,64.18,1083200.0,-15.69,Utilities—Regulated Electric
POOL,2022-10-21,285.17,286.74,278.1,284.83,826700.0,-32.98,Industrial Distribution
PPG,2022-10-21,109.6,113.5,108.75,112.59,2163400.0,-14.64,Specialty Chemicals
PPL,2022-10-21,25.15,25.77,24.95,25.69,6585100.0,-14.01,Utilities—Regulated Electric
PRU,2022-10-21,95.52,98.44,95.0,98.29,1850500.0,-16.01,Insurance—Life
PSA,2022-10-21,292.76,294.04,287.52,292.68,1558100.0,-25.24,REIT—Industrial
PSX,2022-10-21,98.26,100.68,97.76,100.44,3259700.0,19.36,Oil & Gas Refining & Marketing
PTC,2022-10-21,108.73,112.59,106.8,112.39,587100.0,10.78,Software—Application
PWR,2022-10-21,131.02,134.04,130.6,133.41,775500.0,6.56,Engineering & Construction
PXD,2022-10-21,256.24,264.75,255.03,264.35,2528800.0,15.73,Oil & Gas E&P
PYPL,2022-10-21,83.62,85.13,82.35,83.94,14411400.0,-6.11,Credit Services
QCOM,2022-10-21,111.75,115.99,111.02,115.74,7488100.0,-14.04,Semiconductors
QRVO,2022-10-21,82.03,85.64,81.28,85.49,1036200.0,-24.74,Semiconductors
RCL,2022-10-21,47.16,49.35,46.5,49.2,5789400.0,-41.01,Travel Services
RE,2022-10-21,271.16,282.4,270.34,279.88,399000.0,-3.34,Insurance—Reinsurance
REG,2022-10-21,54.2,55.84,53.8,55.67,2520500.0,-21.56,REIT—Retail
REGN,2022-10-21,705.89,718.18,697.48,713.91,1224100.0,1.1,Biotechnology
RF,2022-10-21,19.85,20.69,19.1,19.52,24905200.0,-7.81,Banks—Regional
RHI,2022-10-21,65.4,73.36,65.4,73.01,5676400.0,-35.95,Staffing & Employment Services
RJF,2022-10-21,97.81,101.05,97.24,100.99,4017900.0,-7.64,Capital Markets
RL,2022-10-21,89.49,91.48,88.68,90.71,1223400.0,-19.94,Apparel Manufacturing
RMD,2022-10-21,217.94,223.46,213.5,222.28,506800.0,-6.62,Medical Instruments & Supplies
ROK,2022-10-21,225.2,232.49,221.83,231.87,1030300.0,-13.83,Specialty Industrial Machinery
ROL,2022-10-21,36.03,36.54,35.66,36.43,1169600.0,6.16,Personal Services
ROP,2022-10-21,367.0,372.58,365.11,370.73,744400.0,-20.88,Specialty Industrial Machinery
ROST,2022-10-21,82.4,85.34,82.14,85.07,2194000.0,-20.05,Apparel Retail
RSG,2022-10-21,131.95,133.82,130.81,133.54,1114100.0,-0.59,Waste Management
RTX,2022-10-21,87.26,88.9,86.47,88.54,5411300.0,-11.94,Aerospace & Defense
SBAC,2022-10-21,249.61,249.61,240.6,248.2,909800.0,-32.66,REIT—Specialty
SBNY,2022-10-21,142.54,143.93,135.1,142.31,1354700.0,-46.25,Banks—Regional
SBUX,2022-10-21,87.0,88.97,86.56,88.61,9087000.0,13.66,Restaurants
SCHW,2022-10-21,68.26,70.35,67.77,70.32,6620700.0,-3.43,Capital Markets
SEDG,2022-10-21,197.33,203.35,194.0,202.66,1677300.0,-20.26,Solar
SEE,2022-10-21,46.2,47.21,45.79,46.86,1369500.0,-30.79,Packaging & Containers
SHW,2022-10-21,199.51,207.93,199.01,207.82,2082300.0,-17.01,Specialty Chemicals
SIVB,2022-10-21,255.0,261.51,228.52,230.03,5615600.0,-54.28,Banks—Regional
SJM,2022-10-21,140.95,143.31,140.53,142.81,621300.0,0.86,Packaged Foods
SLB,2022-10-21,46.97,50.54,46.79,50.41,35334500.0,25.04,Oil & Gas Equipment & Services
SNA,2022-10-21,204.97,208.4,201.8,207.75,517800.0,-6.98,Tools & Accessories
SNPS,2022-10-21,288.8,298.58,285.18,296.5,1290700.0,0.34,Software—Infrastructure
SO,2022-10-21,63.56,64.8,63.36,64.5,5225600.0,-14.11,Utilities—Regulated Electric
